"canvasid","courseid","groupname","weight"
"12490125",10281506,"NSO2317- Trinity's Skills for Success",10
"12490126",10281506,"EKG2414- Cardiac Anatomy and Physiology",20
"12490127",10281506,"EKG2415- Cardiac Electrophysiology",15
"12490128",10281506,"EKG2416- EKG Acquistion",15
"12490129",10281506,"EKG2417- EKG Interpretation",15
"12490130",10281506,"ATTENDANCE",25
"12677613",10441987,"NSO2317- Trinity's Skills for Success",5
"12677614",10441987,"Introduction to Healthcare",15
"12677615",10441987,"Anatomy and Physiology",15
"12677616",10441987,"Clinical Medical Assisting w/Lab",15
"12677617",10441987,"Pharmacology w/ Calculations",15
"12677618",10441987,"Administrative Medical Assisting",15
"12677619",10441987,"EXPL2325- Career Exploration and Professionalism",15
"12677620",10441987,"Imported Assignments",0
"12870722",10441987,"Introduction to the Laboratoy ",5
"12675524",10440316,"NSO2317- Trinity's Skills for Success",5
"12675525",10440316,"PHL2416- Introduction to Human Anatomy and Medical Terminology",15
"12675526",10440316,"PHL2417- Phlebotomy Basics",15
"12675527",10440316,"PHL2418- Advanced Phlebotomy Procedures",10
"12675528",10440316,"EXPL2325- Career Exploration and Professionalism",15
"12675529",10440316,"Attendance/Log-in",40
"12882551",10627765,"NSO2317- Trinity's Skills for Success",5
"12882552",10627765,"PHL2416- Introduction to Human Anatomy and Medical Terminology",15
"12882553",10627765,"PHL2417- Phlebotomy Basics",15
"12882554",10627765,"PHL2418- Advanced Phlebotomy Procedures",10
"12882555",10627765,"EXPL2325- Career Exploration and Professionalism",15
"12882556",10627765,"Attendance/Log-in",40
"2941903",1977977,"NSO2317- Trinity's Skills for Success",5
"11116032",1977977,"Introduction to Healthcare",15
"11116038",1977977,"Anatomy and Physiology",15
"11116042",1977977,"Clinical Medical Assisting w/Lab",20
"11116044",1977977,"Pharmacology w/ Calculations",15
"11116036",1977977,"Administrative Medical Assisting",15
"11116067",1977977,"EXPL2325- Career Exploration and Professionalism",15
"11878340",1977977,"Imported Assignments",0
"7791730",6057101,"Assignments",0
"3771679",1526010,"Imported Assignments",0
"10724345",8690806,"READING ASSIGNMENTS",10
"10873923",8690806,"LECTURE ASSIGNMENTS",10
"10873887",8690806,"QUIZZES",40
"11017516",8690806,"MIDTERM AND FINAL EXAMS",10
"10874002",8690806,"ATTENDANCE",30
"11175912",8690806,"NSO2317- Trinity's Skills for Success",5
"11175937",8690806,"EKG2314- Cardiac Anatomy and Physiology",25
"11449875",9366117,"NSO2317- Trinity's Skills for Success",10
"11449876",9366117,"EKG2414- Cardiac Anatomy and Physiology",20
"11637095",9366117,"EKG2415- Cardiac Electrophysiology",15
"11637187",9366117,"EKG2416- EKG Acquistion",15
"11449870",9366117,"EKG2417- EKG Interpretation",15
"11449874",9366117,"ATTENDANCE",25
"11701948",9587445,"NSO2317- Trinity's Skills for Success",10
"11701949",9587445,"EKG2414- Cardiac Anatomy and Physiology",20
"11701950",9587445,"EKG2415- Cardiac Electrophysiology",15
"11701951",9587445,"EKG2416- EKG Acquistion",15
"11701952",9587445,"EKG2417- EKG Interpretation",15
"11701953",9587445,"ATTENDANCE",25
"12327473",10140155,"NSO2317- Trinity's Skills for Success",10
"12327474",10140155,"EKG2414- Cardiac Anatomy and Physiology",20
"12327475",10140155,"EKG2415- Cardiac Electrophysiology",15
"12327476",10140155,"EKG2416- EKG Acquistion",15
"12327477",10140155,"EKG2417- EKG Interpretation",15
"12327478",10140155,"ATTENDANCE",25
"12499369",10289455,"NSO2317- Trinity's Skills for Success",10
"12499370",10289455,"EKG2414- Cardiac Anatomy and Physiology",20
"12499371",10289455,"EKG2415- Cardiac Electrophysiology",15
"12499372",10289455,"EKG2416- EKG Acquistion",15
"12499373",10289455,"EKG2417- EKG Interpretation",15
"12499374",10289455,"ATTENDANCE",25
"12022297",9868740,"NSO2317- Trinity's Skills for Success",10
"12022298",9868740,"EKG2414- Cardiac Anatomy and Physiology",20
"12022299",9868740,"EKG2415- Cardiac Electrophysiology",15
"12022300",9868740,"EKG2416- EKG Acquistion",15
"12022301",9868740,"EKG2417- EKG Interpretation",15
"12022302",9868740,"ATTENDANCE",25
"12789679",9868740,"Imported Assignments",0
"12636518",10406845,"Assignments",0
"12028635",9874687,"Assignments",0
"12028718",9874687,"PhPrac 7e Course Resources",0
"12028719",9874687,"PhPrac 7e Ch01 - The Profession of Pharmacy",0
"12028720",9874687,"PhPrac 7e Ch02 - Pharmacy Law, Regulations, and Standards",0
"12028721",9874687,"PhPrac 7e Ch03 - Drug and Supplement Development",0
"12028722",9874687,"PhPrac 7e Ch04 - Introducing Pharmacology",0
"12028723",9874687,"PhPrac 7e Ch05 - Routes of Drug Administration and Dosage Formulations",0
"12028724",9874687,"PhPrac 7e Ch06 - Pharmacy Measurements and Calculations",0
"12028725",9874687,"PhPrac 7e Ch07 - Community Pharmacy Dispensing",0
"12028726",9874687,"PhPrac 7e Ch08 - Prescription Drug Insurance in Health Care",0
"12028727",9874687,"PhPrac 7e Ch09 - The Business of Community Pharmacy",0
"12028728",9874687,"PhPrac 7e Ch10 - Extemporaneous, Nonsterile Compounding",0
"12028729",9874687,"PhPrac 7e Ch11 - Hospital Pharmacy Dispensing",0
"12028730",9874687,"PhPrac 7e Ch12 - Infection Control, Aseptic Technique, and Cleanroom Facilities",0
"12028731",9874687,"PhPrac 7e Ch13 - Sterile and Hazardous Compounding",0
"12028732",9874687,"PhPrac 7e Ch14 - Medication Safety",0
"12028733",9874687,"PhPrac 7e Ch15 - Professional Performance, Communication, and Ethics",0
"12028734",9874687,"PhPrac 7e Ch16 - Your Future in Pharmacy Practice",0
"12028735",9874687,"PhPrac 7e Instructor-Created Exams",0
"12028737",9874687,"Imported Assignments",0
"12674775",10439768,"Assignments",0
"12674776",10439768,"Imported Assignments",0
"12674777",10439768,"PhPrac 7e Course Resources",0
"12674778",10439768,"PhLabs 4e Course Resources",0
